	ref_title	ref_context	ref_entry	abstract	intro	ref_link
82	Editorial: Special issue on learning from imbalanced data sets	['Reported solutions for the bi-class applications can be categorized as data level and algorithm level approaches <NO>.', 'At the data level, the objective is to re-balance the class distribution by re-sampling the data space including oversampling instances of the positive class and undersampling instances of the negative class, sometimes, uses the combination of the two techniques <NO>.', 'Mining highly unbalanced data sets, particularly in a cost-sensitive environment, is among the leading challenges for knowledge discovery and data mining <NO>, <NO>.', 'Many methods have been proposed for imbalanced classification, and some good results have been reported <NO>.', 'Lots of work has been done to deal with this problem by adjusting the class proportions <NO>,<NO>,<NO>,<NO>.', 'Learning algorithms that do not consider class imbalance tend to be overwhelmed by the majority class and ignore the minority class <NO>.', 'On the other hand, these opportunities also raise many new challenges for the research community in general <NO>–<NO>.', 'This increased interest is reflected in the recent installment of several major workshops, conferences, and special issues including the American Association for Artificial Intelligence (now the Association for the Advancement of Artificial Intelligence) workshop on Learning from Imbalanced Data Sets (AAAI ’00) <NO>, the International Conference on Machine Learning workshop on Learning from Imbalanced Data Sets (ICML’03) <NO>, and the Association for Computing Machinery Special Interest Group on Knowledge Discovery and Data Mining Explorations (ACM SIGKDD Explorations ’04) <NO>.', 'anced learning problems <NO>, <NO>, <NO>.', 'For instance, the one-class learning or novelty detection methods have also attracted much attention in the community <NO>.', 'Generally, these methods can be divided into two categories: external methods and internal methods <NO>, <NO>, <NO>.']	Nitesh V. Chawla, Nathalie Japkowicz, and Aleksander Kotcz. 2004. Editorial: Special issue on learning from imbalanced data sets. ACM SIGKDD Explor. Newslett. 6, 1 (2004), 1–6.			https://doi.org/10.1145/1007730.1007733
83	SMOTEBoost: Improving prediction of the minority class in boosting	['The modification of the ensemble learning algorithm usually includes data level approaches to preprocess the data before learning each classifier <NO>–<NO>.', 'On the other hand, with regard to ensemble learning methods, a large number of different approaches have been proposed in the literature, including but not limited to SMOTEBoost <NO>, RUSBoost <NO>, IIVotes <NO>, EasyEnsemble <NO>, or SMOTEBagging <NO>.', 'to a small number of methods and by the usage of limited sets of problems <NO>–<NO>.', 'Inside this family, we include SMOTEBoost <NO>, MSMOTEBoost <NO>, RUSBoost <NO>, and DataBoost-IM <NO> algorithms.', 'Thus, boosting and oversampling together provide a good option for efficiently learning imbalanced data <NO>, <NO>, <NO>, <NO>.', 'M2 is chosen for ensemble because of its better performance for imbalance problems <NO>, <NO>, <NO>.', 'We compare the performance of RUSBoost to that of SMOTEBoost <NO>, which is another algorithm that combines boosting with data sampling.', 'One of the most promising of these techniques is SMOTEBoost <NO>.', '<NO>, combines the SMOTE algorithm with AdaBoost, resulting in a hybrid sampling/boosting algorithm that outperforms both SMOTE and AdaBoost.', 'on the SMOTEBoost algorithm <NO>, which is, in turn, based on the AdaBoost.', 'Algorithmic methods include adjusting the costs associated with misclassification so as to improve performance <NO>, shifting the bias of a classifier to favor the rare class <NO>, creating Adaboost-like boosting schemes <NO>, and learning from one class <NO>.', 'We chose to analyse Random Over-sampling and SMOTE <NO> for the following reasons: first, our previous experience with sampling methods <NO> shows that these two methods outperform several other (over and under) sampling methods; second, SMOTE has became one of the most popular sampling methods for class imbalance, and it is frequently used as counterpart in empirical evaluations and has several proposed extensions and variations (for instance <NO>, <NO>).', 'Motivated by the SMOTE <NO>, SMOTEBoost <NO>, and ADASYN <NO> algorithms, RAMOBoost facilitates imbalanced learning by iteratively developing an ensemble of hypotheses.', 'accuracy (OA), may not be able to provide a comprehensive assessment of the learning algorithm <NO>, <NO>, <NO>, <NO>, <NO>, <NO>, <NO>, <NO>.', 'For instance, the SMOTEBoost <NO> algorithm is based HE AND GARCIA: LEARNING FROM IMBALANCED DATA 1269', 'Many representative works on the ineffectiveness of accuracy in the imbalanced learning scenario exist in the community <NO>, <NO>, <NO>, <NO>, <NO>, <NO>, <NO>, <NO>.', ', Bagging, Boosting) has given good results <NO>, <NO>, <NO>.', 'A second algorithm that uses boosting to address the problems with rare classes is SMOTEBoost <NO>.', 'Empirical results indicate that this approach allows SMOTEBoost to achieve higher F-values than Adacost <NO>.', 'Moreover, different boosting methods have also been adopted for CIL in <NO> and <NO>.']	Nitesh V. Chawla, Aleksandar Lazarevic, Lawrence O. Hall, and Kevin W. Bowyer. 2003. SMOTEBoost: Improving prediction of the minority class in boosting. Knowledge Discovery in Databases: PKDD 2003. Springer, 107–119.			http://scholar.google.com/scholar?hl=en&q=Nitesh+V.+Chawla%2C+Aleksandar+Lazarevic%2C+Lawrence+O.+Hall%2C+and+Kevin+W.+Bowyer.+2003.+SMOTEBoost%3A+Improving+prediction+of+the+minority+class+in+boosting.+In+Knowledge+Discovery+in+Databases%3A+PKDD+2003.+Springer%2C+107%2D%2D119.
84	Using random forest to learn imbalanced data	['Lots of work has been done to deal with this problem by adjusting the class proportions <NO>,<NO>,<NO>,<NO>.', 'Balanced Random Forests <NO>, EasyEnsemble generates T balanced subproblems.']	Chao Chen, Andy Liaw, and Leo Breiman. 2004. Using random forest to learn imbalanced data. University of California, Berkeley (2004).			http://scholar.google.com/scholar?hl=en&q=Chao+Chen%2C+Andy+Liaw%2C+and+Leo+Breiman.+2004.+Using+random+forest+to+learn+imbalanced+data.+University+of+California%2C+Berkeley+%282004%29.
85	Ramoboost: Ranked minority oversampling in boosting	['Some of the most popular approaches to deal with imbalanced learning problems are based on the synthetic oversampling methods <NO>, <NO>, <NO>, <NO>.', 'Thus, boosting and oversampling together provide a good option for efficiently learning imbalanced data <NO>, <NO>, <NO>, <NO>.', 'Synthetic oversampling methods have been shown to be very successful in dealing with imbalance data <NO>, <NO>, <NO>, <NO>.', 'Oversampling methods ADASYN <NO> and RAMOBoost <NO> try to avoid the aforementioned problem by adaptively assigning weights to the minority class samples.', 'A large weight helps in generating many synthetic samples from the corresponding minority class sample <NO> or enhances the chance for the minority class sample as a participant in the synthetic sample generation process <NO>.', 'To assign the weight, both <NO> and <NO> use a parameter , defining the number of the majority class samples among the k-nearest neighbors of the minority class sample.', ', <NO>, <NO>, <NO>) employ the k-nearest neighbor (also called k-NN)-based approach.', ', <NO>, <NO>, <NO>) do not explicitly identify the hard-to-learn samples.', 'SMOTE <NO>, ADASYN <NO>, and RAMO <NO>.', 'The RAMO method is found from <NO> by excluding its boosting part.', 'M2 is chosen for ensemble because of its better performance for imbalance problems <NO>, <NO>, <NO>.', 'TABLE 2 Accuracy, Precision, and Recall Performance Values of SMOTE <NO>, ADASYN <NO>, RAMO <NO>, and MWMOTE on Artificial Domains Using Single Neural Network Classifier, and AdaBoost.', 'TABLE 3 F-Measure, G-Mean, and AUC Performance Values of SMOTE <NO>, ADASYN <NO>, RAMO <NO>, and MWMOTE on Artificial Domains Using Single Neural Network Classifier, and AdaBoost.', 'TABLE 4 Performance of SMOTE <NO>, ADASYN <NO>, RAMO <NO>, and MWMOTE on Artificial Domains Using k-Nearest Neighbor, and Decision Tree', 'Averaged ROC curves of SMOTE <NO>, ADASYN <NO>, RAMO <NO>, and MWMOTE for single neural network classifier ((a)-(d)) and for AdaBoost.', 'Tables 2, 3, and 4 summarize the results of SMOTE <NO>, ADASYN <NO>, RAMO <NO>, and MWMOTE on four', 'TABLE 6 Performance of SMOTE <NO>, ADASYN <NO>, RAMO <NO>, and MWMOTE on Real-World Data Sets Using Single Neural Network Classifier, and AdaBoost.', 'Averaged ROC curves of SMOTE <NO>, ADASYN <NO>, RAMO <NO>, and MWMOTE for Neural Network classifier ((a)-(d)) and for ensemble of Neural Network classifiers ((e)-(h)): (a) Glass data set, (b) Libra data set, (c) Vehicle data set, (d) Satimage data set, (e) Breast Cancer Original data set, (f) Breast Tissue data set, (g) Pima data set, (h) Yeast data set.', 'M2 Ensemble of Neural Network: Significance Test of Averaged AUC of MWMOTE versus SMOTE <NO>, ADASYN <NO>, and RAMO <NO> TABLE 7 Simulation 1 on Real-World Data Sets Using Single Neural Network: Significance Test of Averaged AUC between MWMOTE versus SMOTE <NO>, ADASYN <NO>, and RAMO <NO>', 'M2 Ensemble of Neural Network: Significance Test of Averaged AUC of MWMOTE versus SMOTE <NO>, ADASYN <NO>, and RAMO <NO> TABLE 7 Simulation 1 on Real-World Data Sets Using Single Neural Network: Significance Test of Averaged AUC between MWMOTE versus SMOTE <NO>, ADASYN <NO>, and RAMO <NO>', 'TABLE 9 Performance of SMOTE <NO>, ADASYN <NO>, RAMO <NO>, and MWMOTE on Real-World Data Sets Using k-NN, and Decision Tree as Base Classifiers']	Sheng Chen, Haibo He, and Edwardo A. Garcia. 2010. Ramoboost: Ranked minority oversampling in boosting. IEEE Trans. Neural Networks 21, 10 (2010), 1624–1642.	In recent years, learning from imbalanced data has attracted growing attention from both academia and industry due to the explosive growth of applications that use and produce imbalanced data. However, because of the complex characteristics of imbalanced data, many real-world solutions struggle to provide robust efficiency in learning-based applications. In an effort to address this problem, this paper presents Ranked Minority Oversampling in Boosting (RAMOBoost), which is a RAMO technique based on the idea of adaptive synthetic data generation in an ensemble learning system. Briefly, RAMOBoost adaptively ranks minority class instances at each learning iteration according to a sampling probability distribution that is based on the underlying data distribution, and can adaptively shift the decision boundary toward difficult-to-learn minority and majority class instances by using a hypothesis assessment procedure. Simulation analysis on 19 real-world datasets assessed over various metrics—including overall accuracy, precision, recall, F-measure, G-mean, and receiver operation characteristic analysis—is used to illustrate the effectiveness of this method.	A comprehensive review of the development of research in learning from imbalanced data, including the nature of the problem, the state-of-the-art approaches, the assessment metrics, and the major opportunities and challenges, has been presented in <NO>. Interested readers can refer to that article for details. In this section, we provide a focused review of four major categories of research activity in imbalanced learning.	https://doi.org/10.1109/TNN.2010.2066988
86	Fast: A roc-based feature selection metric for small samples and imbalanced data classification problems	[]	Xue-wen Chen, and Michael Wasikowski. 2008. Fast: A roc-based feature selection metric for small samples and imbalanced data classification problems. Proceedings of the 14th ACM SIGKDD International Conference on Knowledge Discovery and Data Mining. ACM, New York, NY, 124–132.	The class imbalance problem is encountered in a large number of practical applications of machine learning and data mining, for example, information retrieval and filtering, and the detection of credit card fraud. It has been widely realized that this imbalance raises issues that are either nonexistent or less severe compared to balanced class cases and often results in a classifier’s suboptimal performance. This is even more true when the imbalanced data are also high dimensional. In such cases, feature selection methods are critical to achieve optimal performance. In this paper, we propose a new feature selection method, Feature Assessment by Sliding Thresholds (FAST), which is based on the area under a ROC curve generated by moving the decision boundary of a single feature classifier with thresholds placed using an even-bin distribution. FAST is compared to two commonly-used feature selection methods, correlation coefficient and RELevance In Estimating Features (RELIEF), for imbalanced data classification. The experimental results obtained on text mining, mass spectrometry, and microarray data sets showed that the proposed method outperformed both RELIEF and correlation methods on skewed data sets and was comparable on balanced data sets; when small number of features is preferred, the classification performance of the proposed method was significantly improved compared to correlation and RELIEF-based methods.	In this section, we briefly review two commonly-used feature selection methods, CC and RELIEF.	https://doi.org/10.1145/1401890.1401910
87	Further results on forecasting and model selection under asymmetric loss	['These costs arising from over- and underprediction are typically not quadratic in form and frequently non-symmetric <NO>.', 'Based upon modest research in non-quadratic error functions in NN theory <NO> and asymmetric costs in prediction theory <NO>, a set of asymmetric cost functions was recently proposed as objective functions for neural network training <NO>.', 'Linear, non-linear and mixed ACFs have been specified in literature <NO> while variable or dynamic objective functions to account for varying or heteroscedastic training objectives have not yet been developed for NN-training, as shown in Table 1.']	Peter F. Christoffersen, and Francis X. Diebold. 1996. Further results on forecasting and model selection under asymmetric loss. J. Appl. Econom. 11, 5 (1996), 561–571.			http://scholar.google.com/scholar?hl=en&q=Peter+F.+Christoffersen+and+Francis+X.+Diebold.+1996.+Further+results+on+forecasting+and+model+selection+under+asymmetric+loss.+J.+Appl.+Econom.+11%2C+5+%281996%29%2C+561%2D%2D571.
88	Optimal prediction under asymmetric loss	['Based upon modest research in non-quadratic error functions in NN theory <NO> and asymmetric costs in prediction theory <NO>, a set of asymmetric cost functions was recently proposed as objective functions for neural network training <NO>.', 'Linear, non-linear and mixed ACFs have been specified in literature <NO> while variable or dynamic objective functions to account for varying or heteroscedastic training objectives have not yet been developed for NN-training, as shown in Table 1.']	Peter F. Christoffersen, and Francis X. Diebold. 1997. Optimal prediction under asymmetric loss. Econom. Theor. 13, 6 (1997), 808–817.			http://scholar.google.com/scholar?hl=en&q=Peter+F.+Christoffersen+and+Francis+X.+Diebold.+1997.+Optimal+prediction+under+asymmetric+loss.+Econom.+Theor.+13%2C+6+%281997%29%2C+808%2D%2D817.
89	A new feature weighting method based on probability distribution in imbalanced text classification	[]	Leilei Chu, Hui Gao, and Wenbo Chang. 2010. A new feature weighting method based on probability distribution in imbalanced text classification. 2010 Seventh International Conference on Fuzzy Systems and Knowledge Discovery (FSKD), Vol. 5. IEEE, 2335–2339.			http://scholar.google.com/scholar?hl=en&q=Leilei+Chu%2C+Hui+Gao%2C+and+Wenbo+Chang.+2010.+A+new+feature+weighting+method+based+on+probability+distribution+in+imbalanced+text+classification.+In+2010+Seventh+International+Conference+on+Fuzzy+Systems+and+Knowledge+Discovery+%28FSKD%29%2C+Vol.+5.+IEEE%2C+2335%2D%2D2339.
90	Classification analysis techniques for skewed class distribution problems	[]	Yu-Meei Chyi. 2003. Classification analysis techniques for skewed class distribution problems. Master Thesis, Department of Information Management, National Sun Yat-Sen University (2003).			http://scholar.google.com/scholar?hl=en&q=Yu-Meei+Chyi.+2003.+Classification+analysis+techniques+for+skewed+class+distribution+problems.+Master+Thesis%2C+Department+of+Information+Management%2C+National+Sun+Yat-Sen+University+%282003%29.
91	Learning decision trees for unbalanced data	['use of a classification tree algorithm, such as Hellinger distance tree <NO>, that is specifically designed for the solution of im-', 'However, in <NO>, the authors show that it often experiences a reduction in performance when sampling techniques are applied, which is the base of the majority of the studied techniques; moreover, being more robust (less weak) than C4.', 'Algorithmic techniques have been developed for the different classification algorithms, such as neural networks <NO>, decision trees <NO>, fuzzy systems <NO>, <NO> etc.']	David A. Cieslak, and Nitesh V. Chawla. 2008. Learning decision trees for unbalanced data. Machine Learning and Knowledge Discovery in Databases. Springer, 241–256.			http://scholar.google.com/scholar?hl=en&q=David+A.+Cieslak+and+Nitesh+V.+Chawla.+2008.+Learning+decision+trees+for+unbalanced+data.+In+Machine+Learning+and+Knowledge+Discovery+in+Databases.+Springer%2C+241%2D%2D256.
92	Hellinger distance decision trees are robust and skew-insensitive	[]	David A. Cieslak, Thomas R. Hoens, Nitesh V. Chawla, and W. Philip Kegelmeyer. 2012. Hellinger distance decision trees are robust and skew-insensitive. Data Min. Knowl. Discov. 24, 1 (2012), 136–158.			https://doi.org/10.1007/s10618-011-0222-1
93	Learning from imbalanced data in surveillance of nosocomial infection	[', in text classification and natural language problems <NO> and medical applications <NO>.']	Gilles Cohen, Mélanie Hilario, Hugo Sax, Stéphane Hugonnet, and Antoine Geissbuhler. 2006. Learning from imbalanced data in surveillance of nosocomial infection. Artif. Intell. Med. 37, 1 (2006), 7–18.			https://doi.org/10.1016/j.artmed.2005.03.002
94	Utility based data mining for time series analysis: Cost-sensitive learning for neural network predictors	[]	Sven F. Crone, Stefan Lessmann, and Robert Stahlbock. 2005. Utility based data mining for time series analysis: Cost-sensitive learning for neural network predictors. Proceedings of the 1st International Workshop on Utility-based Data Mining. ACM, New York, NY, 59–68.			https://doi.org/10.1145/1089827.1089835
95	When is undersampling effective in unbalanced classification tasks? In Machine Learning and Knowledge Discovery in Databases	[]	Andrea Dal Pozzolo, Olivier Caelen, and Gianluca Bontempi. 2015. When is undersampling effective in unbalanced classification tasks? In Machine Learning and Knowledge Discovery in Databases. Springer, 200–215.			http://scholar.google.com/scholar?hl=en&q=Andrea+Dal+Pozzolo%2C+Olivier+Caelen%2C+and+Gianluca+Bontempi.+2015.+When+is+undersampling+effective+in+unbalanced+classification+tasks%3F+In+Machine+Learning+and+Knowledge+Discovery+in+Databases.+Springer%2C+200%2D%2D215.
96	Evaluation of classifiers for an uneven class distribution problem	['As claimed by many authors <NO>, the use of plain accuracy (error) rates to evaluate the classification performance in imbalanced domains might produce misleading conclusions, since they do not take misclassification costs into account, are strongly biased to favor the majority class, and are sensitive to class skews.']	Sophia Daskalaki, Ioannis Kopanas, and Nikolaos M. Avouris. 2006. Evaluation of classifiers for an uneven class distribution problem. Appl. Artif. Intell. 20, 5 (2006), 381–417.			http://scholar.google.com/scholar?hl=en&q=Sophia+Daskalaki%2C+Ioannis+Kopanas%2C+and+Nikolaos+M.+Avouris.+2006.+Evaluation+of+classifiers+for+an+uneven+class+distribution+problem.+Appl.+Artif.+Intell.+20%2C+5+%282006%29%2C+381%2D%2D417.
97	The relationship between Precision-Recall and ROC curves	['Similar to AUC-ROC, an area under precision/recall curve (AUC-PR) can be used to indicate the detection ability of a classifier between precision and recall as a function of varying a decision threshold <NO>', 'For example, researchers have recently argued that precision-recall curves are preferable when dealing with highly skewed datasets <NO>.']	Jesse Davis, and Mark Goadrich. 2006. The relationship between Precision-Recall and ROC curves. ICML’06: Proc. of the 23rd Int. Conf. on Machine Learning (ACM ICPS). ACM, New York, NY, 233– 240.	Receiver Operator Characteristic (ROC) curves are commonly used to present results for binary decision problems in machine learning. However, when dealing with highly skewed datasets, Precision-Recall (PR) curves give a more informative picture of an algorithm’s performance. We show that a deep connection exists between ROC space and PR space, such that a curve dominates in ROC space if and only if it dominates in PR space. A corollary is the notion of an achievable PR curve, which has properties much like the convex hull in ROC space; we show an efficient algorithm for computing this curve. Finally, we also note differences in the two types of curves are significant for algorithm design. For example, in PR space it is incorrect to linearly interpolate between points. Furthermore, algorithms that optimize the area under the ROC curve are not guaranteed to optimize the area under the PR curve.	"In a binary decision problem, a classifier labels examples as either positive or negative. The decision made by the classifier can be represented in a structure known as a confusion matrix or contingency table. The confusion matrix has four categories: True positives (TP) are examples correctly labeled as positives. False positives (FP) refer to negative examples incorrectly labeled as positive. True negatives (TN) correspond to negatives correctly labeled as negative. Finally, false negatives (FN) refer to positive examples incorrectly labeled as negative.
A confusion matrix is shown in Figure 2(a). The confusion matrix can be used to construct a point in either ROC space or PR space. Given the confusion matrix, we are able to define the metrics used in each space as in Figure 2(b). In ROC space, one plots the False Positive Rate (FPR) on the x-axis and the True Positive Rate (TPR) on the y-axis. The FPR measures the fraction of negative examples that are misclassified as positive. The TPR measures the fraction of positive examples that are correctly labeled. In PR space, one plots Recall on the x-axis and Precision on the y-axis. Recall is the same as TPR, whereas Precision measures that fraction of examples classified as positive that are truly positive. Figure 2(b) gives the definitions for each metric. We will treat the metrics as functions that act on the underlying confusion matrix which defines a point in either ROC space or PR space. Thus, given a confusion matrix A, RECALL(A) returns the Recall associated with A."	https://doi.org/10.1145/1143844.1143874
98	A multistrategy approach for digital text categorization from imbalanced documents	[]	Marı́a Dolores Del Castillo, and José Ignacio Serrano 2004. A multistrategy approach for digital text categorization from imbalanced documents. ACM SIGKDD Explor. Newslett	The goal of the research described here is to develop a multistrategy classifier system that can be used for document categorization. The system automatically discovers classification patterns by applying several empirical learning methods to different representations for preclassified documents belonging to an imbalanced sample. The learners work in a parallel manner, where each learner carries out its own feature selection based on evolutionary techniques and then obtains a classification model. In classifying documents, the system combines the predictions of the learners by applying evolutionary techniques as well. The system relies on a modular, flexible architecture that makes no assumptions about the design of learners or the number of learners available and guarantees the independence of the thematic domain.	"HYCLA operates in two stages, learning and integration. In the learning stage, learners apply an evolutionary technique to obtain their own feature set, and then they are trained to obtain their classification model. In the integration stage, individual learned models are evaluated on a test set, and the predictions made are combined in order to achieve the best classification of test documents. The subsections below describe the modules and procedures of this system.
The underlying architecture of HYCLA can be instantiated to approach a different text mining task by upgrading its modules."	https://doi.org/10.1145/1007730.1007740
99	Overlap versus imbalance	[]	Misha Denil, and Thomas Trappenberg. 2010. Overlap versus imbalance. Advances in Artificial Intelligence. Springer, 220–231.			https://doi.org/10.1007/978-3-642-13059-5_22
100	MetaCost: A general method for making classifiers cost-sensitive	['One is to assign distinct costs to the classification errors <NO>.', 'MetaCost <NO> or cost sensitive boosting <NO>.', 'For example, the work on cost sensitive learning <NO> aimed at reducing total cost, and sampling approaches <NO> to favour the minority class are usually demonstrated with decision tree algorithms and/or naive Bayes.', 'For example, the work on cost sensitive learning <NO> aimed at reducing total cost, and sampling approaches <NO> to favour the minority class are usually demonstrated with decision tree algorithms and/or naive Bayes.', 'Algorithmic methods include adjusting the costs associated with misclassification so as to improve performance <NO>, shifting the bias of a classifier to favor the rare class <NO>, creating Adaboost-like boosting schemes <NO>, and learning from one class <NO>.', 'Moreover, Domingos <NO> reports that concerning concept learning problems, C4.', 'where P jjx ð Þ represents the probability of each class j for a given example x <NO>, <NO>.', 'Both of these classes have rich theoretical foundations that justify their approaches, with cost-sensitive dataspace weighting methods building on the translation theorem <NO>, and cost-sensitive Metatechniques building on the Metacost framework <NO>.', 'We additionally note that it is generally very straightforward to make hard-type classifiers provide softtype outputs based on the observations of the intrinsic characteristics of those classifiers <NO>, <NO>, <NO>, <NO>.', 'It is worth noting that the original MetaCost method <NO> does not explicitly manipulate the outputs of the classifier.']	Pedro Domingos. 1999. MetaCost: A general method for making classifiers cost-sensitive. KDD’99: Proceedings of the 5th International Conference on Knowledge Discovery and Data Mining. ACM Press, New York, NY, 155–164.			https://doi.org/10.1145/312129.312220
101	GP classification under imbalanced data sets: Active subsampling and AUC approximation	[]	John Doucette, and Malcolm I. Heywood. 2008. GP classification under imbalanced data sets: Active subsampling and AUC approximation. Genetic Programming. Springer, 266–277.			https://doi.org/10.5555/1792694.1792719
102	Evolutionary sampling and software quality modeling of high-assurance systems	[]	Dennis J. Drown, Taghi M. Khoshgoftaar, and Naeem Seliya. 2009. Evolutionary sampling and software quality modeling of high-assurance systems. IEEE Trans. Syst. Man Cybernet. A 39, 5 (2009), 1097– 1107.	Software quality modeling for high-assurance systems, such as safety-critical systems, is adversely affected by the skewed distribution of fault-prone program modules. This sparsity of defect occurrence within the software system impedes training and performance of software quality estimation models. Data sampling approaches presented in data mining and machine learning literature can be used to address the imbalance problem. We present a novel genetic algorithm-based data sampling method, named Evolutionary Sampling, as a solution to improving software quality modeling for high-assurance systems. The proposed solution is compared with multiple existing data sampling techniques, including random undersampling, one-sided selection, Wilson’s editing, random oversampling, cluster-based oversampling, Synthetic Minority Oversampling Technique (SMOTE), and Borderline-SMOTE. This paper involves case studies of two realworld software systems and builds C4.5and RIPPER-based software quality models both before and after applying a given data sampling technique. It is empirically shown that Evolutionary Sampling improves performance of software quality models for high-assurance systems and is significantly better than most existing data sampling techniques.		https://doi.org/10.1109/TSMCA.2009.2020804
103	Explicitly representing expected cost: An alternative to ROC representation	['Drummond and Holte <NO> introduced the cost space representation that allows for comparing different classifiers in terms of the expected cost.', 'We also implemented cost-curves over the range of PCF (+) established by varying C(+|−) and C(−|+) <NO>.', 'In order to provide a more comprehensive evaluation metric to address these issues, cost curves were proposed in <NO>, <NO>, <NO>.', 'such as ROC curve <NO> or cost curve <NO> can be used to', 'useful nontrivial classifiers can be identified <NO>.']	Chris Drummond, and Robert C. Holte. 2000. Explicitly representing expected cost: An alternative to ROC representation. Proceedings of the Sixth ACM SIGKDD International Conference on Knowledge Discovery and Data Mining. ACM, New York, NY, 198–207.	This paper proposes an alternative to ROC representation, in which the expected cost of a classi er is represented explicitly . This expected cost representation maintains many of the adv an tagesof R OCrepresen tation, but is easier to understand. It allows the experimenter to immediately see the range of costs and class frequencies where a particular classi er is the best and quantitatively how much better it is than other classi ers. This paper demonstrates there is a point/line duality between the tw o represen tations.A point in ROC space representing a classi er becomes a line segment spanning the full range of costs and class frequencies. This duality produces equivalen t operations in the tw o spaces, allowing most techniques used in ROC analysis to be readily reproduced in the cost space.	In this section we brie y review ROC analysis and how it is used in evaluating or comparing a classi er's performance. We then introduce our alternative dual representation, which maintains these advantages but by making explicit the expected cost is much easier to understand. In both representations, the analysis is restricted to two class problems which are referred to as the positive and negative class.	https://doi.org/10.1145/347090.347126
104	C4	[]	Chris Drummond, and Robert C. Holte. 2003. C4. 5, class imbalance, and cost sensitivity: Why under-sampling beats over-sampling. In Workshop on Learning from Imbalanced Datasets II, Vol. 11. Citeseer. James P. Egan. 1975. Signal detection theory and {ROC} analysis. (1975).			http://scholar.google.com/scholar?hl=en&q=Chris+Drummond+and+Robert+C.+Holte.+2003.+C4.+5%2C+class+imbalance%2C+and+cost+sensitivity%3A+Why+under-sampling+beats+over-sampling.+In+Workshop+on+Learning+from+Imbalanced+Datasets+II%2C+Vol.+11.+Citeseer.
105	The foundations of cost-sensitive learning	['As stated in <NO>, given a set of cost setups, the decisions are unchanged if each one in the set is multiplied by a positive constant or added with a constant.', 'Since boosting assigns higher weights to misclassified examples and minority class examples are those most likely to be misclassified, it stands to reason that minority class examples will receive higher weights during the boosting process, making it similar in many ways to cost-sensitive classification <NO> (a technique for alleviating the class imbalance problem that is not discussed in this paper).', 'Cost-sensitive learning <NO>, <NO> is another important class of class-imbalance learning methods.', 'Algorithmic methods include adjusting the costs associated with misclassification so as to improve performance <NO>, shifting the bias of a classifier to favor the rare class <NO>, creating Adaboost-like boosting schemes <NO>, and learning from one class <NO>.', 'Indeed, the motivation for attaining probability estimates is often to classify instances as belonging to the majority class only when we are quite sure of it (this is the basic idea behind cost-sensitive learning <NO>, <NO>).', 'where P jjx ð Þ represents the probability of each class j for a given example x <NO>, <NO>.', 'lished in <NO>, which generalizes the effects of decision tree', 'In this case cost-sensitivity was obtained by altering the ratio of positive to negative examples in the training data, or, equivalently, by adjusting the probability thresholds used to assign class labels <NO>.', '1 to account for the differences between the training distribution and the underlying distribution <NO>.', 'Elkan indicated <NO>, sampling can be done either randomly or deterministically.']	Charles Elkan. 2001. The foundations of cost-sensitive learning. IJCAI’01: Proc. of 17th Int. Joint Conf. of Artificial Intelligence, Vol. 1. Morgan Kaufmann Publishers, 973–978.			https://doi.org/10.5555/1642194.1642224
106	Adaptive oversampling for imbalanced data classification	[]	Şeyda Ertekin. 2013. Adaptive oversampling for imbalanced data classification. Information Sciences and Systems 2013. Springer, 261–269.			http://scholar.google.com/scholar?hl=en&q=%C5%9Eeyda+Ertekin.+2013.+Adaptive+oversampling+for+imbalanced+data+classification.+In+Information+Sciences+and+Systems+2013.+Springer%2C+261%2D%2D269.
