	ref_title	ref_context	ref_entry	abstract	intro
29	Cache Behavior Prediction for Real-Time Systems	['Categorizations that are obtainable by the well-known must and may cache analysis <NO> are always-hit, always-miss and not-classified.', 'The must and may cache analyses as introduced in <NO> are used to classify individual memory accesses as cache hits or misses.', 'Regarding cache memories on uni-core architectures, two main classes of approaches have been proposed: static cache simulation <NO>, based on dataflow analysis, and the methods described in <NO>, based on abstract interpretation.']	C. Ferdinand. 1997. Cache Behavior Prediction for Real-Time Systems. Ph.D. Dissertation. Saarland University.		
30	An experimental evaluation of the cache partitioning impact on multicore real-time schedulers	[]	G. Gracioli, and A.A. Fröhlich. 2013. An experimental evaluation of the cache partitioning impact on multicore real-time schedulers. Proc. of the 19th IEEE RTCAS. IEEE, 10.		
31	Precise and efficient FIFO-replacement analysis based on static phase detection	[]	Daniel Grund, and Jan Reineke. 2010. Precise and efficient FIFO-replacement analysis based on static phase detection. Proc. of the 22nd ECRTS. 155–164.	Schedulability analysis for hard real-time systems requires bounds on the execution times of its tasks. To obtain useful bounds in the presence of caches, static timing analyses must predict cache hits and misses with high precision. For caches with least-recently-used (LRU) replacement policy, precise and efficient cache analyses exist. However, other widely used policies like first-in first-out (FIFO) are inherently harder to analyze. The main contributions of this paper are precise and efficient mustand may-analyses of FIFO based on the novel concept of static phase detection. The analyses statically partition sequences of memory accesses as they will occur during program execution into phases. If subsequent phases contain accesses to the same (similar) set of memory blocks, each phase contributes a bit to the overall goal of predicting hits (misses). The new must-analysis is significantly more precise than prior analyses. Both analyses can be implemented space-efficiently by sharing information using abstract LRU-stacks.	
32	Toward precise PLRU cache analysis	[]	Daniel Grund, and Jan Reineke. 2010. Toward precise PLRU cache analysis. Proc. of 10th Workshop on WCET Analysis. 28–39.		
33	Cache-aware scheduling and analysis for multicores	['Most contemporary research aims at optimizing the analysis on aforementioned systems <NO>.', 'However, our results can be easily adapted to other scheduling strategies such as EDF, which is presented in the technical report version of this paper <NO> .', 'The parameter setting in Figure 6(a) is as follows: the number of cores is 6; the number of cache partitions is 40; for each task τi, Ti is uniformly distributed in <NO>, Ui is uniformly distributed in [0.', 'We omit the detailed presentation of the analysis of nonblocking-style scheduling here due to page limitations, and referred the interested readers to our technical report <NO>.', 'Among them, an on-chip large shared cache has received much attention <NO><NO><NO>.', 'Since the execution of a task may be potentially affected by memory accesses of all tasks running on other cores, the accurate analysis of inter-core cache interference is extremely difficult <NO>.', '<NO> proposed a nonpreemptive scheduling algorithm for a multi-core real-time system using page coloring.']	Nan Guan, Martin Stigge, Wang Yi, and Ge Yu. 2009. Cache-aware scheduling and analysis for multicores. Proc. of the EMSOFT’09. ACM, 245–254.		
34	FIFO cache analysis for WCET estimation: A quantitative approach	[]	Nan Guan, Xinping Yang, Mingsong Lv, and Wang Yi. 2013. FIFO cache analysis for WCET estimation: A quantitative approach. Proc. of DATE. 296–301.		
35	A framework for providing quality of service in chip multi-processors	[]	Fei Guo, Yan Solihin, Li Zhao, and Ravishankar Iyer. 2007. A framework for providing quality of service in chip multi-processors. Proc. of the 40th IEEE/ACM MICRO. IEEE, 343–355.		
36	Using bypass to tighten WCET estimates for multi-core processors with shared instruction caches	['We also assume that loads to the lines that have not been locked in the L1 cache bypass the L1 cache (as in a previous research work <NO>).']	Damien Hardy, Thomas Piquet, and Isabelle Puaut. 2009. Using bypass to tighten WCET estimates for multi-core processors with shared instruction caches. Proc. of the 30th RTSS. IEEE, 68–77.	Multi-core chips have been increasingly adopted by the microprocessor industry. For real-time systems to exploit multicore architectures, it is required to obtain both tight and safe estimates of worst-case execution times (WCETs). Estimating WCETs for multi-core platforms is very challenging because of the possible interferences between cores due to shared hardware resources such as shared caches, memory bus, etc. This paper proposes a compile-time approach to reduce shared instruction cache interferences between cores to tighten WCET estimations. Unlike [28], which accounts for all possible conflicts caused by tasks running on the other cores when estimating the WCET of a task, our approach drastically reduces the amount of inter-core interferences. This is done by controlling the contents of the shared instruction cache(s), by caching only blocks statically known as reused. Experimental results demonstrate the practicality of our approach.	"A multi-core architecture is assumed. Each core has a private first-level (L1) instruction cache, followed by instruction cache levels with at least one shared cache. The caches are setassociative. Each level of the cache hierarchy is non-inclusive:
− A piece of information is searched for in the cache of level if and only if a cache miss occurred when searching it in the cache of level −1. Cache of level 1 is always accessed. − Except if the bypass mechanism presented in Section 4 is used, every time a cache miss occurs at cache level , the entire cache block containing the missing piece of information is always loaded into the cache of level . − There are no actions on the cache contents (i.e. invalidations, lookups/modifications) other than the ones mentioned above.
Our study concentrates on instruction caches; it is assumed that the shared caches do not contain data. This study can be seen as a first step towards a general solution for shared caches. It can also push the use of separate shared instruction and data caches instead of unified ones1.
Our method assumes a LRU (Least Recently Used) cache replacement policy. The access time variability to main memory and shared caches, due to bus contention, is supposed to
1Unified caches could be partitioned at boot time for instance in a A-way instruction cache and a B-way data cache.
be bounded and known, by using for instance Time Division Multiple Access (TDMA) like in <NO> or other predictable bus arbitration policies <NO>.
Figure 1 illustrates two different supported architectures.
Regarding scheduling, it is assumed that a job does not migrate between cores at run-time. Migrations are allowed between job instances only. No further assumption is made on task scheduling, implying that any part of an interfering task may be executed simultaneously with the analysed task and may thus pollute the shared cache(s). This assumption was made in a first approach to keep WCET estimation and schedulability independent activities, as traditionally done when temporally validating real-time software. We do not attempt to explore joint WCET estimation and scheduling, which is left for future work. Tasks are independent (i.e. do not synchronize with each other), but might share code, such as libraries (see paragraph 3.2).
The focus in this paper is to estimate the WCET of a hardreal time task running on a core, in isolation from the tasks running on the same core, but suffering indirect interferences because of cache sharing from tasks running on the other cores. The computation of cache-related preemption delay due to intra-core interferences is considered out of the scope of this paper."
37	Estimation of cache related migration delays for multi-core processors with shared instruction caches	['have recently proposed static cache analysis techniques to quantify cache-related migration delay cost on multi-cores by estimating re-use of cache lines that cause cache misses <NO>.', 'determined the upper bound on CRMD for shared instruction caches <NO>.']	Damien Hardy, and Isabelle Puaut. 2009. Estimation of cache related migration delays for multi-core processors with shared instruction caches. Proc. of the 17th RTNS. 45–54.		
38	Computer Architecture: A Quantitative Approach (4th ed.)	[]	John L. Hennessy, and David A. Patterson 2006. Computer Architecture: A Quantitative Approach (4th ed.)		
39	CAMA: A predictable cache-aware memory allocator	['Similar techniques can be applied in software <NO> or in hardware <NO> with different granularities.']	J. Herter, P. Backes, F. Haupenthal, and J. Reineke. 2011. CAMA: A predictable cache-aware memory allocator. Proc. of the 2011 ECRTS. 23–32.	General-purpose dynamic memory allocation algorithms strive for small memory fragmentation and good average-case response times. Hard real-time settings, in contrast, place different demands on dynamic memory allocators: worst-case response times are more important than averagecase response times. Furthermore, predictable cache behavior is a prerequisite for timing analysis to derive tight bounds on a program’s execution time. This paper proposes a novel algorithm that meets these demands. It guarantees constant response times, does not cause unpredictable cache pollution, and allocations are cache-set directed, i.e., allocated memory is guaranteed to be mapped to a given cache set. The latter two are necessary to enable a subsequent precise static cache analysis.	"The remainder of this paper is organized as follows. We elaborate on the problems that dynamic memory allocation imposes on the determination of WCET bounds in Section II and present related work in Section III. In Section IV, we
2011 23rd Euromicro Conference on Real-Time Systems
1068-3070/11 $26.00 © 2011 IEEE DOI 10.1109/ECRTS.2011.11
23
describe our cache-aware memory allocation algorithm and its implementation. For a set of real-time applications, we compare worst-case execution time bounds and memory consumption of CAMA to that of TLSF, and, in the case of memory consumption, to that of Doug Lea’s allocator in Section V."
40	Making dynamic memory allocation static to support WCET analyses	['A completely different approach to enable dynamic memory allocation for hard real-time systems was proposed in <NO>.']	J. Herter, and J. Reineke. 2009. Making dynamic memory allocation static to support WCET analyses. Proc. of 9th International Workshop on WCET Analysis.		
41	An Introduction to the Intel QuickPath Interconnect	[]	Intel. 2010. An Introduction to the Intel QuickPath Interconnect. Retrieved from http://www.intel.com/ content/www/us/en/io/quickpath-technology/quick-path-interconnect-introduction-paper.html.		
42	Investigation and improvement on the impact of TLB misses in real-time systems	[]	T. Ishikawa, T. Kato, S. Honda, and H. Takada. 2013. Investigation and improvement on the impact of TLB misses in real-time systems. Proc. of OSPERT.		
43	CQoS: A framework for enabling QoS in shared caches of CMP platforms	['This is a key advantage of our technique over some other cache partitioning schemes <NO> since cache allocation is not limited in the absence of contention.', '<NO> proposed a scheme for QoS support in shared CMP caches.', 'As expected, recent studies <NO><NO><NO><NO><NO><NO> have indicated that contention for critical platform resources (e.', 'RELATED WORK Previous research on partitioning for cache/memory architectures can be found in <NO><NO><NO><NO><NO><NO><NO> The primary optimization goal for the techniques presented in most of these papers has been either fairness <NO><NO><NO> or improving overall throughput <NO>.', 'Although QoS has been studied for a long time in real-time environments <NO>, networking <NO> and multimedia <NO>, it has only been recently introduced to the CMP architecture<NO>.', 'Iyer <NO> described the need for a priority-based framework to introduce QoS in CMP caches.', 'Similar cache partitioning mechanisms have been presented before <NO><NO><NO><NO>.', 'Iyer <NO> in a recent publication presented a framework for enabling QoS in shared caches.', 'The work on heterogeneous cache regions by Iyer <NO> is based on the use of multiple caches each with different cache parameters and the optimal assignment of applications to appropriate caches with suitable cache parameters.', 'Similar techniques can be applied in software <NO> or in hardware <NO> with different granularities.', 'There are many prior studies <NO><NO><NO><NO><NO><NO> that investigate the optimal shared cache partitioning for multiprogrammed workloads.', '<NO> pursue cache fairness and quality of service as the main goal.', 'The majority of work required modifications to hardware and falls into one of two camps: performance aware cache modification (most commonly cache-partitioning) <NO> or performance-aware DRAM controller memory scheduling [Loh 2008; Suh et al.', 'The effect of simultaneously executing threads competing for space in the LLC has been explored extensively by many different researchers <NO>.', 'The fact that a thread’s instruction retirement rate depends on the other threads in the workload makes performance on CMPs unpredictable which can be an even bigger problem than reduced throughput <NO>.', 'To incorporate the decisions made by the partitioning algorithm, the baseline LRU policy is augmented to enable way partitioning <NO><NO><NO>.', 'Mechanisms to facilitate static and dynamic partitioning of cache is described in detail in <NO>.']	Ravi Iyer. 2004. CQoS: A framework for enabling QoS in shared caches of CMP platforms. Proc. of the 18th ICS. ACM, 257–266.	Cache hierarchies have been traditionally designed for usage by a single application, thread or core. As multi-threaded (MT) and multi-core (CMP) platform architectures emerge and their workloads range from single-threaded and multithreaded applications to complex virtual machines (VMs), a shared cache resource will be consumed by these different entities generating heterogeneous memory access streams exhibiting different locality properties and varying memory sensitivity. As a result, conventional cache management approaches that treat all memory accesses equally are bound to result in inefficient space utilization and poor performance even for applications with good locality properties. To address this problem, this paper presents a new cache management framework (CQoS) that (1) recognizes the heterogeneity in memory access streams, (2) introduces the notion of QoS to handle the varying degrees of locality and latency sensitivity and (3) assigns and enforces priorities to streams based on latency sensitivity, locality degree and application performance needs. To achieve this, we propose CQoS options for priority classification, priority assignment and priority enforcement. We briefly describe CQoS priority classification and assignment options -ranging from user-driven and developer-driven to compiler-detected and flow-based approaches. Our focus in this paper is on CQoS mechanisms for priority enforcement -these include (1) selective cache allocation, (2) static/dynamic set partitioning and (3) heterogeneous cache regions. We discuss the architectural design and implementation complexity of these CQoS options. To evaluate the performance trade-offs for these options, we have modeled these CQoS options in a cache simulator and evaluated their performance in CMP platforms running network-intensive server workloads. Our simulation results show the effectiveness of our proposed options and make the case for CQoS in future multi-threaded/multi-core platforms since it improves shared cache efficiency and increases overall system performance as a result.	"The typical architecture of a processor shown in Figure 1. As shown in the figure typically consists of a number of compu L1 (and perhaps L2 caches). While the las be made up of private caches per proce shown that shared caching is more desira and design point of view. Our focus is on last-level cache as it is critical shared reso keep the compute cores busy executing an against the memory wall.
Conventional cache management relies o by only one memory access stream at a However, as processors, systems and a more complex, we need to consider the di access streams that allocate data into th consider the potential for different memo be broadly classified into the following ca
(a) Multi-Threaded Applications: The simplest case is where the last-level cache is being used by multiple threads of the same application. In this scenario, if the threads are sharing and communicating a lot of data between each other, the conventional management of shared caches will work reasonably well. However, if the threads perform entirely different types of transactions concurrently (for instance – HTTP transactions in a web server application), then the performance of the concurrent transactions is dependent not only on its own locality, but also the nature of memory accesses generated by the other transactions. In such scenarios, the transactions that are of higher importance (e.g. secure payment transactions) should be prioritized higher than those of lower importance (e.g. browsing transactions).
(b) Multiple Heterogeneous Applications: When multi-tasking multiple applications in a CMP platform, it is likely that threads of one application and another get scheduled on to the same microprocessor, thereby sharing the last-level cache. This computing model is particularly gaining relevance/importance as virtual machines <NO> start to proliferate in data centers as a mechanism to reduce server sprawl. In such scenarios, different applications will definitely exhibit different memory access properties and therefore should be handled differently in terms of cache space allocated. The notion of cache space prioritization between is important here for high efficiency.
(c) Specialized Cores in CMPs: As application and network processing tends to frequently execute some common communication layers (TCP/IP, SSL for instance) or computing components (data encryption, compression, CRC, XML parsing, etc), architects are considering replacing one or two of the CPU d Many Different Applications, VMs Threads, Cores, Specialized Engines, Devices, Assists, Data Prefetch/Forwar
P Processors
CHES in a CMP platform is
, a CMP microprocessor te cores with individual t level cache (LLC) can ssor, studies <NO> have ble from a performance the performance of this urce that is intended to d the last line of defense
n the cache being used ny given point in time. pplications become far fferent types of memory e shared LLC. Let us ry access streams as can tegories:
cores with specialized cores for such components. In such scenarios, the processing and memory access flows generated by the cores on the CMP will definitely have different properties and can be best handled with that knowledge.
(d) Sharing Caches between Cores and Devices: With the imminent potential of computing appearing in I/O devices (and possibly management controllers) in the system and the integration of I/O links into the CPU, researchers and architects are evaluating the benefits of using cache space to speed up the processing on the device. In such scenarios, it becomes important to perhaps partition the cache space dynamically between the cores and the devices.
(e) Memory Latency Helpers: In current processors, prefetching is employed to overlap computation with memory access. Excessive prefetching <NO> is known to cause problems such as cache pollution and deteriorate application performance. In addition to prefetching <NO> initiated by the CPU, researchers have considered memory-side prefetching, data forwarding <NO> and direct placement of network data into CPU cache <NO>. To reduce the amount of pollution caused by these memory latency helpers, it is important to prioritize cache space usage between demand activity and prefetching/forwarding activity.
Several other considerations need to be kept in mind when considering prioritizing cache space utilization. Other than the basic priority of the application, it also needs to be kept in mind that providing higher cache space to a higher priority application does not always guarantee higher cache performance. This depends heavily on the application’s memory access characteristics (i.e. locality properties). As a result, locality and
“user-defined” application priority need to be considered in unison to form the cache priority of the memory access stream. Other aspects to consider are the dynamic changes to the priority of an application or memory access stream. Since processing tends to go through several phases, it is important that the priority assignment mechanism be designed to allow dynamic changes. These issues motivated us to develop a framework that introduced the notion of quality of service in caches. In the next section, we will discuss the basic ideas behind this and present several potential design and implementation options to enable this in future systems."
44	QoS policies and architecture for cache/memory in CMP platforms	['The fact that a thread’s instruction retirement rate depends on the other threads in the workload makes performance on CMPs unpredictable which can be an even bigger problem than reduced throughput <NO>.', 'We note that HPAC is orthogonal to techniques that provide fairness in shared resources <NO>.']	Ravi Iyer, Li Zhao, Fei Guo, Ramesh Illikkal, Srihari Makineni, Don Newell, Yan Solihin, Lisa Hsu, and Steve Reinhardt. 2007. QoS policies and architecture for cache/memory in CMP platforms. Proc. of the 2007 ACM SIGMETRICS. ACM, 25–36.	As we enter the era of CMP platforms with multiple threads/cores on the die, the diversity of the simultaneous workloads running on them is expected to increase. The rapid deployment of virtualization as a means to consolidate workloads on to a single platform is a prime example of this trend. In such scenarios, the quality of service (QoS) that each individual workload gets from the platform can widely vary depending on the behavior of the simultaneously running workloads. While the number of cores assigned to each workload can be controlled, there is no hardware or software support in today’s platforms to control allocation of platform resources such as cache space and memory bandwidth to individual workloads. In this paper, we propose a QoS-enabled memory architecture for CMP platforms that addresses this problem. The QoS-enabled memory architecture enables more cache resources (i.e. space) and memory resources (i.e. bandwidth) for high priority applications based on guidance from the operating environment. The architecture also allows dynamic resource reassignment during run-time to further optimize the performance of the high priority application with minimal degradation to low priority. To achieve these goals, we will describe the hardware/software support required in the platform as well as the operating environment (O/S and virtual machine monitor). Our evaluation framework consists of detailed platform simulation models and a QoS-enabled version of Linux. Based on evaluation experiments, we show the effectiveness of a QoSenabled architecture and summarize key findings/trade-offs.	In this section, we motivate QoS needs by describing disparate threads and the shared resource problem.
45	Page placement algorithms for large real-indexed caches	[]	R.E. Kessler, and Mark D. Hill. 1992. Page placement algorithms for large real-indexed caches. ACM Transaction on Computer Systems 10, 4 (Nov. 1992), 338–359.		
46	A coordinated approach for practical OS-level cache management in multi-core real-time systems	['While LLC offers high potential for average performance improvement, it challenges worst-case execution time (WCET) estimation, which has made LLC to be studied in the last years by the real-time community <NO>.', 'Software cache partitioning <NO> and hardware cache partitioning <NO> have been used so far to control inter-task interaction in the LLC.', 'Software cache partitioning is done through memory coloring <NO>.']	Hyoseung Kim, Arvind Kandhalu, and Ragunathan Rajkumar. 2013. A coordinated approach for practical OS-level cache management in multi-core real-time systems. Proc. of the 25th ECRTS. 80–89.	Many modern multi-core processors sport a large shared cache with the primary goal of enhancing the statistic performance of computing workloads. However, due to resulting cache interference among tasks, the uncontrolled use of such a shared cache can significantly hamper the predictability and analyzability of multi-core real-time systems. Software cache partitioning has been considered as an attractive approach to address this issue because it does not require any hardware support beyond that available on many modern processors. However, the state-of-the-art software cache partitioning techniques face two challenges: (1) the memory co-partitioning problem, which results in page swapping or waste of memory, and (2) the availability of a limited number of cache partitions, which causes degraded performance. These are major impediments to the practical adoption of software cache partitioning. In this paper, we propose a practical OS-level cache management scheme for multi-core real-time systems. Our scheme provides predictable cache performance, addresses the aforementioned problems of existing software cache partitioning, and efficiently allocates cache partitions to schedule a given taskset. We have implemented and evaluated our scheme in Linux/RK running on the Intel Core i7 quad-core processor. Experimental results indicate that, compared to the traditional approaches, our scheme is up to 39% more memory space efficient and consumes up to 25% less cache partitions while maintaining cache predictability. Our scheme also yields a significant utilization benefit that increases with the number of tasks.	"We discuss related work on cache interference and describe the assumptions and notation used in our paper.
1Intel Core i7 processors are used in not only desktop/server machines but also aerospace and defense embedded systems <NO>. In fact, Intel’s Embedded Systems Division is rather big inside Intel."
47	Symbolic execution and program testing	[]	J.C. King. 1976. Symbolic execution and program testing. Communications of the ACM 19, 7 (July 1976), 385–394.		
48	SMART (strategic memory allocation for real-time) cache design using the MIPS R3000	['Several cache partitioning techniques have been devised <NO>; however compared to previous works, the main contribution of this paper is to exploit cache partitioning to improve real-time schedulability while taking into account tasks’ criticality.', 'The implementation aspects of cache partitioning techniques are the focus of most of the previous works <NO>.', 'SMART, a hardware-based strategy, was proposed by Kirk <NO>.', 'Similar techniques can be applied in software <NO> or in hardware <NO> with different granularities.']	D.B. Kirk, and J.K. Strosnider. 1990. SMART (strategic memory allocation for real-time) cache design using the MIPS R3000. Proc. of the 11th RTSS. 322–330.		
49	The Art of Computer Programming, Volume 1 (3rd ed.)	[]	Donald E. Knuth 1997. The Art of Computer Programming, Volume 1 (3rd ed.)		
50	A cache design for probabilistically analysable real-time systems	['In TR caches, however, each address can be mapped to any set (randomly chosen on each execution) and way (randomly chosen on every eviction), since random replacement and placement policies are used <NO>.', 'TR caches <NO> randomise the behaviour of the replacement and placement policies.', 'The random placement policy described in <NO> deploys a parametric hash function that uses as inputs the address accessed and a random number, called random index identifier or RII.', 'The hash function proposed in <NO> ensures that given a memory address and a set of RIIs, the probability of mapping such address to any particular cache set is the same.', ', Bk, Aj >, starting from an empty cache state, with Ai and Aj accessing the same cache line, with no Bl (where 1 ≤ l ≤ k) accessing the same cache line as Ai and each Bl accessing a different cache line, the miss probability of Aj can be approximated as <NO>:', 'The number of runs required for different benchmarks <NO> and an avionics case study <NO> ranges between 300 and 1,000.', 'dresses in which a program maps its data and code affects execution time in a way that is naturally captured by MBPTA <NO>.', 'For instance, the PRNG used in <NO> is able to provide 32 random bits per cycle, which are far more bits than needed.', 'IL1 and DL1 are as follows: 4KB, 4-way and 16B-line size implementing random placement and random replacement (EoM) policies <NO>.', 'First, the particular memory address of an access does not determine the cache set in which it is mapped since the placement in cache is time randomised <NO>.', 'time-randomised (TR) caches <NO>, that guarantee that ETPs exist for all memory accesses since hits/misses occur with a given probability.', 'In <NO> authors propose random placement and random replacement policies that are PTA-compliant.', 'The random placement policy in <NO> proposes a new parametric hash function that makes use of a random number as an input.', 'Authors in <NO> propose changing the RII only across program execution boundaries so that programs can be analysed with end-to-end runs without any further consideration than assuming that the cache is initially empty.', 'The hash function proposed in <NO> ensures that, given a memory address and a set of RIIs, the probability of mapping such address to any given cache set is the same.', 'For each access to a first level cache we can derive a probability of hit <NO>.', 'The effect of the placement on the probability of hit of accesses can be multiplied by the effect of replacement computed in previous sections as both are independent <NO>.', 'Regarding the overhead of the random placement and replacement caches, it has been shown to be low with respect to modulo-placement LRU-replacement: as shown in <NO> the overhead in area and access time is very small and its relative impact further decreases for large caches such as UL2 ones.', 'We model 4KB, 32-byte line, 4-way set-associative instruction (IL1) and data caches (DL1), both deploying random replacement and random placement <NO>.', 'On the one hand, the core architecture presented in previous section has been shown to be MBPTA compliant <NO>.', 'Timing analysis of systems equipped with cache memories is abundant <NO>, <NO>, <NO>, <NO>, <NO>, <NO>, <NO>, <NO>, <NO>, <NO>.', 'However, so far only single-level caches have been considered <NO>, <NO>, <NO>, <NO>.']	Leonidas Kosmidis, Jaume Abella, Eduardo Quinones, and Francisco J. Cazorla. 2013. A cache design for probabilistically analysable real-time systems. Proc. of the DATE. 513–518.		
51	Multi-level unified caches for probabilistically time analysable real-time systems	['A similar two-level cache hierarchy has been shown to be MBPTA compliant <NO> though it was deployed in a single-core architecture with no inter-task interferences.']	L. Kosmidis, J. Abella, R. Quinones, and F.J. Cazorla. 2013. Multi-level unified caches for probabilistically time analysable real-time systems. Proc. of the 34th RTSS. IEEE, 360–371.	Caches are key resources in high-end processor architectures to increase performance. In fact, most highperformance processors come equipped with a multi-level cache hierarchy. In terms of guaranteed performance, however, cache hierarchies severely challenge the computation of tight worstcase execution time (WCET) estimates. On the one hand, the analysis of the timing behaviour of a single level of cache is already challenging, particularly for data accesses. On the other hand, unifying data and instructions in each level, makes the problem of cache analysis significantly more complex requiring tracking simultaneously data and instruction accesses to cache. In this paper we prove that multi-level cache hierarchies can be used in the context of Probabilistic Timing Analysis and tight WCET estimates can be obtained. Our detailed analysis (1) covers unified data and instruction caches, (2) covers different cache-write policies (write-through and write back), write allocation policies (write-allocate and non-write-allocate) and several inclusion mechanisms (inclusive, non-inclusive and exclusive caches), and (3) scales to an arbitrary number of cache levels. Our results show that the probabilistic WCET (pWCET) estimates provided by our analysis technique effectively benefit from having multi-level caches. For a two-level cache configuration and for EEMBC benchmarks, pWCET reductions are 55% on average (and up to 90%) with respect to a processor with a single level of cache.	This section provides some background on PTA as well as the cache characteristics and assumptions in this paper.
52	A Memory Allocator	['In the literature, several efficient implementations of dynamic memory allocators exists, <NO>.', 'Doug Lea’s allocator <NO> is the most representative of hybrid allocator and it is used in Linux systems and several environments.', 'For real-world programs, TLSF produces fragmentation similar to Doug Lea’s memory allocator <NO>, currently considered to be']	D. Lea 1996. A Memory Allocator. Unix/Mail, 6/96.		
53	When prefetching works, when it doesn’t, and why	[]	Jaekyu Lee, Hyesoon Kim, and Richard Vuduc. 2012. When prefetching works, when it doesn’t, and why. ACM Trans. Archit. Code Optim. 9, 1, Article 2 (March 2012), 29 pages.	In emerging and future high-end processor systems, tolerating increasing cache miss latency and properly managing memory bandwidth will be critical to achieving high performance. Prefetching, in both hardware and software, is among our most important available techniques for doing so; yet, we claim that prefetching is perhaps also the least well-understood. Thus, the goal of this study is to develop a novel, foundational understanding of both the benefits and limitations of hardware and software prefetching. Our study includes: source code-level analysis, to help in understanding the practical strengths and weaknesses of  compiler and software-based prefetching; a study of the synergistic and antagonistic effects between software and hardware prefetching; and an evaluation of hardware prefetching training policies in the presence of software prefetching requests. We use both simulation and measurement on real systems. We find, for instance, that although there are many opportunities for compilers to prefetch much more aggressively than they currently do, there is also a tangible risk of interference with training existing hardware prefetching mechanisms. Taken together, our observations suggest new research directions for cooperative hardware/software prefetching.	
54	Timing analysis of concurrent programs running on shared cache multi-cores	[]	Yun Liang, Huping Ding, Tulika Mitra, Abhik Roychoudhury, Yan Li, and Vivy Suhendra. 2012. Timing analysis of concurrent programs running on shared cache multi-cores. Real-Time Systems 48, 6 (2012), 638–680.		
55	Instruction cache locking using temporal reuse profile	['Cache locking is also shown to be quite effective for improving average-case execution time <NO>.']	Yun Liang, and T. Mitra. 2010. Instruction cache locking using temporal reuse profile. Proc. of the 47th ACM/IEEE DAC. 344–349.	The performance of most embedded systems is critically dependent on the average memory access latency. Improving the cache hit rate can have significant positive impact on the performance of an application. Modern embedded processors often feature cache locking mechanisms that allow memory blocks to be locked in the cache under software control. Cache locking was primarily designed to offer timing predictability for hard real-time applications. Hence, the compiler optimization techniques focus on employing cache locking to improve worst-case execution time. However, cache locking can be quite effective in improving the average-case execution time of general embedded applications as well. In this paper, we explore static instruction cache locking to improve average-case program performance. We introduce temporal reuse profile to accurately and efficiently model the cost and benefit of locking memory blocks in the cache. We propose an optimal algorithm and a heuristic approach that use the temporal reuse profile to determine the most beneficial memory blocks to be locked in the cache. Experimental results show that locking heuristic achieves close to optimal results and can improve the cache miss rate by up to 24% across a suite of real-world benchmarks. Moreover, our heuristic provides significant improvement compared to the state-of-the-art locking algorithm both in terms of performance and efficiency.	"Instruction cache locking has been primarily employed in hard real time systems for better timing predictability <NO>. In hard real time systems, worst case execution time (WCET) is an essential input to the schedulability analysis of mutli-tasking real time systems. It is difficult to estimate a safe but tight WCET in the presence of complex micro-architectural features such as caches. By statically locking instructions in the cache, WCET becomes more predictable. Locking has also been applied to shared caches in multi-cores in <NO>.
In this paper, our aim is to improve average-case execution time for general embedded systems through locking. Data cache locking mechanism based on the length of the reference window for each data-access instruction is proposed in <NO>. However, they do not model the cost/benefit of locking and there is no guarantee of performance improvement. Recently, Anand and Barua proposed an instruction cache locking algorithm for improving average-case execution time in <NO>. This work is most related to ours. However, our approach differs in two important aspects. First, Anand and Barua’s approach relies on simulation, while we use an accurate cache modeling. More concretely, in Anand and Barua’s method, two detailed trace simulations are employed in each iteration where an iteration locks one memory block in the cache. In contrast, we require only one profiling step. Secondly, in our approach, the cost/benefit of cache locking is modeled precisely using temporal reuse profiles of memory blocks. However, in their method, cache locking benefit is approximated by locking dummy blocks to keep the number of simulations reasonable. Thus our work improves over <NO> both in terms of performance and efficiency.
In this work, we introduce temporal reuse profile to model cache behavior. Previously, reuse distance has been proposed for the same purpose <NO>. Reuse distance is defined as the number of distinct data accesses between two consecutive references to the same address and it accurately models cache behavior of a fully associative cache. However, to precisely model the effect of cache locking, we need the content instead of the number (size) of the distinct data accesses between two consecutive references. TRP records both the reuse content and their frequencies."
56	OS-controlled cache predictability for realtime systems	[]	Jochen Liedtke, Hermann Haertig, and Michael Hohmuth. 1997. OS-controlled cache predictability for realtime systems. Proc. of the 3rd IEEE RTAS. IEEE, 213–224.		
57	Gaining insights into multicore cache partitioning: Bridging the gap between simulation and real systems	['3) Page coloring: A particular case of software-based cache partitioning is page coloring <NO>.', 'Some coloring strategies have been shown to improve average case performances <NO>.', 'The first problem is the memory co-partitioning problem <NO><NO>.', '<NO> evaluated existing hardware-based cache partitioning schemes on a real machine via page coloring.', 'The majority of work required modifications to hardware and falls into one of two camps: performance aware cache modification (most commonly cache-partitioning) <NO> or performance-aware DRAM controller memory scheduling [Loh 2008; Suh et al.', '<NO> similarly to other researchers <NO> address cache contention via software-based cache partitioning.']	Jiang Lin, Qingda Lu, Xiaoning Ding, Zhao Zhang, Xiaodong Zhang, and P. Sadayappan. 2008. Gaining insights into multicore cache partitioning: Bridging the gap between simulation and real systems. Proc. of the HPCA. IEEE, 367–378.		
